location,forecast_date,target_end_date,horizon,actual,season,tfp_point,tfp_mae,tfp_wis,tfp_cov90,umass_point,umass_mae,umass_wis,umass_cov90,cdc_point,cdc_mae,cdc_wis,cdc_cov90,naive_point,naive_mae,naive_wis,naive_cov90,snaive_point,snaive_mae,snaive_wis,snaive_cov90
20,2025-02-08,2025-02-22,2,413.0,2024-2025,422.34148281656803,9.341482816568032,5.710560179716702,1,267.4117232,145.58827680000002,82.53998988842501,1.0,241.0,172.0,105.31125000000002,0,483.0,70.0,70.0,,111.0,302.0,302.0,
20,2025-02-08,2025-03-01,3,308.0,2024-2025,428.66961719976325,120.66961719976325,97.87232952436459,0,243.1366806,64.8633194,38.10576010763334,1.0,218.0,90.0,46.836666666666666,1,483.0,175.0,175.0,,111.0,197.0,197.0,
20,2025-02-15,2025-02-22,1,413.0,2024-2025,438.21002888290053,25.21002888290053,13.944118587147251,1,335.5565785,77.4434215,38.31808421954167,1.0,333.0,80.0,42.6425,1,519.0,106.0,106.0,,82.0,331.0,331.0,
20,2025-02-15,2025-03-01,2,308.0,2024-2025,443.2252601999021,135.2252601999021,112.2148419071686,0,308.7246411,0.7246410999999853,24.532231214541664,1.0,291.0,17.0,25.065,1,519.0,211.0,211.0,,82.0,226.0,226.0,
20,2025-02-15,2025-03-08,3,251.0,2024-2025,445.723760402783,194.723760402783,167.89481690564926,0,294.8108771,43.81087710000003,30.7874841071,1.0,256.0,5.0,22.162499999999998,1,519.0,268.0,268.0,,82.0,169.0,169.0,
20,2025-02-22,2025-03-01,1,308.0,2024-2025,338.08198646543326,30.08198646543326,16.88820105984846,1,346.9531072,38.95310719999998,25.842707419791665,1.0,344.0,36.0,27.624583333333334,1,413.0,105.0,105.0,,87.0,221.0,221.0,
20,2025-02-22,2025-03-08,2,251.0,2024-2025,332.18380972151897,81.18380972151897,58.12568715631814,0,319.0339895,68.03398950000002,37.99801304533333,1.0,298.0,47.0,31.68166666666666,1,413.0,162.0,162.0,,87.0,164.0,164.0,
20,2025-02-22,2025-03-15,3,164.0,2024-2025,330.6786884021811,166.67868840218108,138.39755329532034,0,290.8132819,126.81328189999999,70.19555086411667,1.0,268.0,104.0,52.190416666666664,1,413.0,249.0,249.0,,87.0,77.0,77.0,
20,2025-03-01,2025-03-08,1,251.0,2024-2025,253.2587399612966,2.2587399612966124,4.751259244993591,1,256.8772698,5.877269800000022,15.127669642208337,1.0,260.0,9.0,20.49833333333333,1,308.0,57.0,57.0,,84.0,167.0,167.0,
20,2025-03-01,2025-03-15,2,164.0,2024-2025,249.50470134010646,85.50470134010646,60.243138138267874,0,224.2614265,60.2614265,33.27682736158334,1.0,234.0,70.0,36.44125,1,308.0,144.0,144.0,,84.0,80.0,80.0,
20,2025-03-01,2025-03-22,3,120.0,2024-2025,239.76081373014034,119.76081373014034,91.28387015802774,0,197.07848,77.07848000000001,43.05556741402918,1.0,200.0,80.0,39.51749999999999,1,308.0,188.0,188.0,,84.0,36.0,36.0,
20,2025-03-08,2025-03-15,1,164.0,2024-2025,214.78231442307694,50.78231442307694,31.11962813453871,0,183.7890264,19.78902640000001,13.535244120749999,1.0,197.0,33.0,18.951249999999998,1,251.0,87.0,87.0,,95.0,69.0,69.0,
20,2025-03-08,2025-03-22,2,120.0,2024-2025,206.02052296153846,86.02052296153846,59.72777106928866,0,153.051245,33.051244999999994,20.443203322654167,1.0,166.0,46.0,23.635833333333334,1,251.0,131.0,131.0,,95.0,25.0,25.0,
20,2025-03-08,2025-03-29,3,68.0,2024-2025,204.0194033776923,136.0194033776923,105.73209536055475,0,126.2589782,58.2589782,36.20654042142917,1.0,136.0,68.0,37.986250000000005,1,251.0,183.0,183.0,,95.0,27.0,27.0,
20,2025-03-15,2025-03-22,1,120.0,2024-2025,137.09742802197803,17.097428021978033,9.428061469934407,1,141.6194285,21.619428499999998,12.631789782499999,1.0,169.0,49.0,23.660833333333333,1,164.0,44.0,44.0,,66.0,54.0,54.0,
20,2025-03-15,2025-03-29,2,68.0,2024-2025,131.84940052747254,63.84940052747254,39.74210017952885,0,111.6352324,43.63523240000001,24.320122446079164,1.0,137.0,69.0,36.98916666666667,1,164.0,96.0,96.0,,66.0,2.0,2.0,
20,2025-03-15,2025-04-05,3,40.0,2024-2025,123.46838541435262,83.46838541435262,54.912639172337435,0,89.72805637,49.728056370000004,29.235000109597497,1.0,105.0,65.0,33.52333333333334,1,164.0,124.0,124.0,,66.0,26.0,26.0,
20,2025-03-22,2025-03-29,1,68.0,2024-2025,104.84258010446344,36.84258010446344,20.566696510521425,1,83.45084014,15.450840139999997,8.8133453258625,1.0,89.0,21.0,11.776666666666666,1,120.0,52.0,52.0,,66.0,2.0,2.0,
20,2025-03-22,2025-04-05,2,40.0,2024-2025,97.48367607217475,57.483676072174745,34.309983788906244,1,65.61641384,25.616413840000007,13.784315323151667,1.0,72.0,32.0,16.49833333333333,1,120.0,80.0,80.0,,66.0,26.0,26.0,
20,2025-03-22,2025-04-12,3,29.0,2024-2025,92.73003543042736,63.730035430427364,38.35684413114082,0,51.91013901,22.91013901,12.992221231646086,1.0,53.0,24.0,14.061250000000001,1,120.0,91.0,91.0,,66.0,37.0,37.0,
20,2025-03-29,2025-04-05,1,40.0,2024-2025,59.63145037753657,19.631450377536567,10.693030467546494,1,60.59706524,20.59706524,10.5244401368,1.0,64.0,24.0,13.155000000000001,1,68.0,28.0,28.0,,42.0,2.0,2.0,
20,2025-03-29,2025-04-12,2,29.0,2024-2025,53.633780760736194,24.633780760736194,13.017573712405216,1,46.55301512,17.553015119999998,9.355340267300832,1.0,49.0,20.0,10.312916666666668,1,68.0,39.0,39.0,,42.0,13.0,13.0,
20,2025-03-29,2025-04-19,3,29.0,2024-2025,53.92309922978764,24.92309922978764,13.386256270367525,1,37.45349322,8.453493219999999,6.3507238734435845,1.0,37.0,8.0,6.664583333333333,1,68.0,39.0,39.0,,42.0,13.0,13.0,
20,2025-04-05,2025-04-12,1,29.0,2024-2025,35.51786069418387,6.517860694183867,6.131489550236293,1,31.06039698,2.06039698,3.206264335374166,1.0,36.0,7.0,5.046666666666666,1,40.0,11.0,11.0,,27.0,2.0,2.0,
20,2025-04-05,2025-04-19,2,29.0,2024-2025,36.28493553470919,7.2849355347091915,6.620863213306983,1,22.2182346,6.781765400000001,4.242038549988333,1.0,27.0,2.0,4.38,1,40.0,11.0,11.0,,27.0,2.0,2.0,
20,2025-04-05,2025-04-26,3,9.0,2024-2025,32.259347614258914,23.259347614258914,12.421036520786302,1,16.91433622,7.914336219999999,4.807184611211249,1.0,18.0,9.0,5.8254166666666665,1,40.0,31.0,31.0,,27.0,18.0,18.0,
20,2025-04-12,2025-04-19,1,29.0,2024-2025,29.927869580419582,0.927869580419582,5.441558692202225,1,15.72218964,13.27781036,6.423252707794166,1.0,22.0,7.0,4.498333333333334,1,29.0,0.0,0.0,,40.0,11.0,11.0,
20,2025-04-12,2025-04-26,2,9.0,2024-2025,26.538819655011658,17.538819655011658,9.525437713951025,1,9.892029425,0.8920294250000005,2.2965848477116673,1.0,18.0,9.0,4.99875,1,29.0,20.0,20.0,,40.0,31.0,31.0,
20,2025-04-12,2025-05-03,3,6.0,2024-2025,22.124626514965037,16.124626514965037,9.185194541223943,1,7.031193291,1.0311932910000001,2.3544592861329168,1.0,12.0,6.0,4.076250000000001,1,29.0,23.0,23.0,,40.0,34.0,34.0,
20,2025-04-19,2025-04-26,1,9.0,2024-2025,28.5732796570899,19.5732796570899,10.367286211067634,1,9.34305247,0.34305246999999994,1.7435362845431666,1.0,16.0,7.0,3.544166666666667,1,29.0,20.0,20.0,,27.0,18.0,18.0,
20,2025-04-19,2025-05-03,2,6.0,2024-2025,24.628281974050047,18.628281974050047,9.927134207248505,1,5.64797446,0.35202553999999964,1.7907080336099999,1.0,11.0,5.0,3.140416666666667,1,29.0,23.0,23.0,,27.0,21.0,21.0,
20,2025-04-19,2025-05-10,3,4.0,2024-2025,23.65032437442076,19.65032437442076,10.520487638229183,1,4.08210749,0.08210749000000028,1.8333413286400002,1.0,7.0,3.0,2.895,1,29.0,25.0,25.0,,27.0,23.0,23.0,
20,2025-04-26,2025-05-03,1,6.0,2024-2025,8.46090900506679,2.4609090050667906,4.3756740892226,1,,,,,12.0,6.0,3.4175000000000004,1,9.0,3.0,3.0,,9.0,3.0,3.0,
20,2025-04-26,2025-05-10,2,4.0,2024-2025,6.667038748963613,2.6670387489636127,4.41634779043742,1,,,,,8.0,4.0,3.1904166666666662,1,9.0,5.0,5.0,,9.0,5.0,5.0,
20,2025-04-26,2025-05-17,3,8.0,2024-2025,5.630532742551821,2.3694672574481794,4.612833845639314,1,,,,,8.0,0.0,2.3175000000000003,1,9.0,1.0,1.0,,9.0,1.0,1.0,
20,2025-05-03,2025-05-10,1,4.0,2024-2025,5.199082051282051,1.1990820512820513,3.914813965976219,1,3.305685624,0.6943143759999999,0.9191400599291665,1.0,5.0,1.0,1.8112500000000002,1,6.0,2.0,2.0,,5.0,1.0,1.0,
20,2025-05-03,2025-05-17,2,8.0,2024-2025,4.1289849670329675,3.8710150329670325,4.155509882891637,1,2.2014862,5.7985138,2.433674891274167,1.0,4.0,4.0,2.1791666666666667,1,6.0,2.0,2.0,,5.0,3.0,3.0,
20,2025-05-03,2025-05-24,3,11.0,2024-2025,4.5474628928937735,6.4525371071062265,4.86278642352742,1,1.781261516,9.218738484,4.105509957585416,1.0,4.0,7.0,3.33375,1,6.0,5.0,5.0,,5.0,6.0,6.0,
20,2025-05-10,2025-05-17,1,8.0,2024-2025,3.1133536185707786,4.886646381429221,3.9227032419905012,1,3.498379666,4.501620334,2.1360661637558334,1.0,4.0,4.0,1.8945833333333333,1,4.0,4.0,4.0,,2.0,6.0,6.0,
20,2025-05-10,2025-05-24,2,11.0,2024-2025,3.2641642403277196,7.73583575967228,4.6116158127320945,1,3.193320392,7.806679608,3.7358932623541663,1.0,3.0,8.0,3.7691666666666666,1,4.0,7.0,7.0,,2.0,9.0,9.0,
20,2025-05-10,2025-05-31,3,9.0,2024-2025,2.5867278635229862,6.413272136477014,4.528909349580246,1,3.161117031,5.838882969,2.653792466492917,1.0,3.0,6.0,2.922083333333333,1,4.0,5.0,5.0,,2.0,7.0,7.0,
20,2025-05-17,2025-05-24,1,11.0,2024-2025,7.810539140271493,3.1894608597285066,4.373199225999774,1,2.690204456,8.309795544,4.392525811447917,1.0,3.0,8.0,3.55125,1,8.0,3.0,3.0,,5.0,6.0,6.0,
20,2025-05-17,2025-05-31,2,9.0,2024-2025,6.951130932126697,2.0488690678733033,4.4220048865290025,1,2.790473344,6.2095266559999995,2.8690716421467077,1.0,3.0,6.0,2.9270833333333335,1,8.0,1.0,1.0,,5.0,4.0,4.0,
20,2025-05-17,2025-06-07,3,2.0,2024-2025,7.7304392857918565,5.7304392857918565,5.256064270362585,1,3.249638183,1.249638183,1.4981808407408337,1.0,3.0,1.0,1.3870833333333332,1,8.0,6.0,6.0,,5.0,3.0,3.0,
20,2025-05-24,2025-05-31,1,9.0,2024-2025,9.601622154745838,0.6016221547458382,4.406412933169146,1,6.071289727,2.928710273,1.6240075252937503,1.0,5.0,4.0,1.8775000000000002,1,11.0,2.0,2.0,,2.0,7.0,7.0,
20,2025-05-24,2025-06-07,2,2.0,2024-2025,9.843266208726945,7.843266208726945,5.623401868015516,1,6.8123668,4.8123668,2.78201337505875,1.0,5.0,3.0,1.9695833333333332,1,11.0,9.0,9.0,,2.0,0.0,0.0,
20,2025-05-24,2025-06-14,3,1.0,2024-2025,9.224196414269006,8.224196414269006,5.9150667575524,1,7.997593203,6.997593203,4.0294204430516665,1.0,3.0,2.0,1.4291666666666665,1,11.0,10.0,10.0,,2.0,1.0,1.0,
20,2025-05-31,2025-06-07,1,2.0,2024-2025,8.035427817531307,6.035427817531307,4.703001717144303,1,10.27771371,8.27771371,4.735434065587808,1.0,10.0,8.0,3.7279166666666668,1,9.0,7.0,7.0,,5.0,3.0,3.0,
20,2025-05-31,2025-06-14,2,1.0,2024-2025,6.581648364937388,5.581648364937388,4.76359291183677,1,11.4483807,10.4483807,6.107305657475417,1.0,8.0,7.0,3.2754166666666666,1,9.0,8.0,8.0,,5.0,4.0,4.0,
