mode,subset,comparison,metric,point_estimate,ci_lower,ci_upper,n_apples
interval_law_all,all_locations,tfp_vs_umass,wis_ratio,0.8139341447120537,0.7790476949619044,0.8310628434997603,4119
interval_law_all,all_locations,tfp_vs_umass,mae_ratio,0.8956206425972913,0.8212777688100407,0.9304345683387181,4119
interval_law_all,all_locations,tfp_vs_cdc,wis_ratio,0.7980544736483891,0.770680827827457,0.8133401439067773,4119
interval_law_all,all_locations,tfp_vs_cdc,mae_ratio,0.8711698910968192,0.8124256350399549,0.9005836067146197,4119
interval_law_all,all_locations,tfp_vs_naive,wis_ratio,0.855082417386876,0.8464395752581514,0.8765946321453842,4119
interval_law_all,all_locations,tfp_vs_naive,mae_ratio,0.8025975313256956,0.7939563389620992,0.827146209331324,4119
interval_law_all,all_locations,tfp_vs_snaive,wis_ratio,0.549353679284485,0.5248836457773278,0.6202274692922533,4119
interval_law_all,all_locations,tfp_vs_snaive,mae_ratio,0.5929639705864256,0.5604899591404867,0.6532343395570265,4119
interval_law_all,us_national,tfp_vs_umass,wis_ratio,0.8316013878871382,0.7049069657541931,0.9931877478343483,78
interval_law_all,us_national,tfp_vs_cdc,wis_ratio,0.8101942152978159,0.7000803230951009,0.9441531233821685,78
interval_law_all,horizon_1,tfp_vs_umass,wis_ratio,0.6448634799558101,0.6058199404832002,0.6625440991951423,1373
interval_law_all,horizon_1,tfp_vs_umass,mae_ratio,0.6237310137907512,0.5673621827458614,0.6546687459059611,1373
interval_law_all,horizon_1,tfp_vs_cdc,wis_ratio,0.6596284212439402,0.623845044360578,0.6760734349778996,1373
interval_law_all,horizon_1,tfp_vs_cdc,mae_ratio,0.6259076976540965,0.5771877188637,0.6531714520436203,1373
interval_law_all,horizon_2,tfp_vs_umass,wis_ratio,0.7920499907216403,0.7643538519084533,0.8148208699628281,1373
interval_law_all,horizon_2,tfp_vs_umass,mae_ratio,0.9191943711829393,0.8298488906011601,0.96364656942755,1373
interval_law_all,horizon_2,tfp_vs_cdc,wis_ratio,0.7718277557533445,0.7516614854892507,0.8013824765356801,1373
interval_law_all,horizon_2,tfp_vs_cdc,mae_ratio,0.8778984082706568,0.8184146836073036,0.9075885265741096,1373
interval_law_all,horizon_3,tfp_vs_umass,wis_ratio,0.9504108422755956,0.9026943287251543,0.9780515681617274,1373
interval_law_all,horizon_3,tfp_vs_umass,mae_ratio,1.042530867479656,0.9808170911278832,1.0700140179450535,1373
interval_law_all,horizon_3,tfp_vs_cdc,wis_ratio,0.9100777905145339,0.8749962326261528,0.9333588652613072,1373
interval_law_all,horizon_3,tfp_vs_cdc,mae_ratio,1.009619811086809,0.952835955631242,1.0356265681330985,1373
