mode,subset,comparison,metric,point_estimate,ci_lower,ci_upper,n_apples
interval_law_all,all_locations,tfp_vs_umass,wis_ratio,0.8959742763718821,0.8751124482547018,0.9346878615278541,4761
interval_law_all,all_locations,tfp_vs_umass,mae_ratio,0.8801207137212214,0.8377226204008534,0.9745568226907912,4761
interval_law_all,all_locations,tfp_vs_cdc,wis_ratio,0.7047065589044833,0.6845772985967831,0.7545572209087869,4761
interval_law_all,all_locations,tfp_vs_cdc,mae_ratio,0.6605903066028689,0.6130994608417235,0.7633495196215493,4761
interval_law_all,all_locations,tfp_vs_naive,wis_ratio,0.873675077342094,0.8556981231620422,0.8987578252534761,4761
interval_law_all,all_locations,tfp_vs_naive,mae_ratio,0.7144976026648177,0.6668487150960424,0.823104567686865,4761
interval_law_all,all_locations,tfp_vs_snaive,wis_ratio,0.4172956208230091,0.3876899023684834,0.44040976146046895,4761
interval_law_all,all_locations,tfp_vs_snaive,mae_ratio,0.32271694983815885,0.29918166171760774,0.3784434254911326,4761
interval_law_all,us_national,tfp_vs_umass,wis_ratio,0.8822151249550652,0.7669949138059893,1.0053895425060373,90
interval_law_all,us_national,tfp_vs_cdc,wis_ratio,0.6714981641690587,0.579969410903141,0.7578238356473642,90
interval_law_all,horizon_1,tfp_vs_umass,wis_ratio,0.8447147133482503,0.8275898841210771,0.8807571363489946,1589
interval_law_all,horizon_1,tfp_vs_umass,mae_ratio,0.7263181329757044,0.6818167418302539,0.8238851397030589,1589
interval_law_all,horizon_1,tfp_vs_cdc,wis_ratio,0.6847738005597238,0.6641791702036163,0.7376356396638267,1589
interval_law_all,horizon_1,tfp_vs_cdc,mae_ratio,0.5720281357243179,0.5238626129226761,0.6789659826613107,1589
interval_law_all,horizon_2,tfp_vs_umass,wis_ratio,0.8757957705081321,0.8515661565603087,0.911057504021238,1587
interval_law_all,horizon_2,tfp_vs_umass,mae_ratio,0.8378510704242057,0.7932159357836497,0.9367780923852498,1587
interval_law_all,horizon_2,tfp_vs_cdc,wis_ratio,0.6862642944020643,0.6695464167393114,0.7296081024763859,1587
interval_law_all,horizon_2,tfp_vs_cdc,mae_ratio,0.6353922441941328,0.5896943282803836,0.7360457718180843,1587
interval_law_all,horizon_3,tfp_vs_umass,wis_ratio,0.9539229303200204,0.9244454501931149,1.0080452728049811,1585
interval_law_all,horizon_3,tfp_vs_umass,mae_ratio,1.0252047372205033,0.9793821738936752,1.1358167281177103,1585
interval_law_all,horizon_3,tfp_vs_cdc,wis_ratio,0.7358146949557433,0.7110906681826058,0.7949497898948015,1585
interval_law_all,horizon_3,tfp_vs_cdc,mae_ratio,0.7384909775879421,0.6866180698173796,0.8517081838392765,1585
