edge_id,old_rfc,new_rfc,relation_type,total_citers,cites_old,cites_new,cites_both,takeover_ratio
395,1808,3986,obsoletes,482,21,463,2,0.960600
396,3291,4001,obsoletes,101,17,85,1,0.841600
397,3473,4003,updates,138,138,6,6,0.043500
398,1034,4033,updates,489,378,191,80,0.390600
399,1035,4033,updates,522,433,191,102,0.365900
400,2136,4033,updates,245,82,191,28,0.779600
401,2181,4033,updates,238,73,191,26,0.802500
402,2308,4033,updates,208,36,191,19,0.918300
403,3225,4033,updates,200,13,191,4,0.955000
404,3597,4033,updates,206,29,191,14,0.927200
405,3226,4033,updates,193,5,191,3,0.989600
406,2535,4033,obsoletes,244,62,191,9,0.782800
407,3008,4033,obsoletes,196,5,191,0,0.974500
408,3090,4033,obsoletes,194,4,191,1,0.984500
409,3445,4033,obsoletes,195,7,191,3,0.979500
410,3655,4033,obsoletes,191,3,191,3,1.000000
411,3658,4033,obsoletes,193,4,191,2,0.989600
412,3755,4033,obsoletes,193,7,191,5,0.989600
413,3757,4033,obsoletes,191,6,191,6,1.000000
414,3845,4033,obsoletes,191,1,191,1,1.000000
415,1034,4034,updates,445,378,122,55,0.274200
416,1035,4034,updates,490,433,122,65,0.249000
417,2136,4034,updates,180,83,122,25,0.677800
418,2181,4034,updates,171,73,122,24,0.713500
419,2308,4034,updates,141,36,122,17,0.865200
420,3225,4034,updates,131,14,122,5,0.931300
421,3597,4034,updates,138,29,122,13,0.884100
422,3226,4034,updates,126,6,122,2,0.968300
423,2535,4034,obsoletes,176,62,122,8,0.693200
424,3008,4034,obsoletes,127,6,122,1,0.960600
425,3090,4034,obsoletes,125,5,122,2,0.976000
426,3445,4034,obsoletes,127,7,122,2,0.960600
427,3655,4034,obsoletes,122,4,122,4,1.000000
428,3658,4034,obsoletes,124,4,122,2,0.983900
429,3755,4034,obsoletes,124,7,122,5,0.983900
430,3757,4034,obsoletes,122,6,122,6,1.000000
431,3845,4034,obsoletes,122,1,122,1,1.000000
432,1034,4035,updates,442,378,119,55,0.269200
433,1035,4035,updates,489,433,119,63,0.243400
434,2136,4035,updates,178,83,119,24,0.668500
435,2181,4035,updates,170,73,119,22,0.700000
436,2308,4035,updates,133,36,119,22,0.894700
437,3225,4035,updates,127,13,119,5,0.937000
438,3597,4035,updates,135,30,119,14,0.881500
439,3226,4035,updates,123,5,119,1,0.967500
440,2535,4035,obsoletes,174,62,119,7,0.683900
