lookback_max,growth_mode,growth_strength,shrink_80,shrink_95,weighted_cov_error,weighted_wis,safety_pass,M4_Monthly_cov80,M4_Monthly_cov95,M4_Monthly_cov_err,M4_Monthly_wis,M4_Weekly_cov80,M4_Weekly_cov95,M4_Weekly_cov_err,M4_Weekly_wis,Finance_cov80,Finance_cov95,Finance_cov_err,Finance_wis,Flu_US_cov80,Flu_US_cov95,Flu_US_cov_err,Flu_US_wis
78,linear,0.08,0.95,1.0,0.14566772655007962,332.7724348682307,True,0.938888888888889,0.9905555555555555,0.17944444444444452,3018.3128876638007,0.916923076923077,0.9769230769230769,0.14384615384615385,1924.9724337857065,0.9208571428571429,0.9743809523809525,0.1452380952380954,20.815576169924928,0.8528301886792453,0.9037735849056604,0.09905660377358483,
78,linear,0.08,0.95,1.05,0.14948330683624808,339.2759860213133,True,0.938888888888889,0.9922222222222221,0.1811111111111111,3080.830611234916,0.916923076923077,0.9792307692307693,0.1461538461538463,1959.580087884996,0.9208571428571429,0.9788571428571429,0.1497142857142858,21.106409229661867,0.8528301886792453,0.9075471698113208,0.09528301886792445,
78,linear,0.08,1.0,1.0,0.15516693163752004,335.17919300168205,True,0.948888888888889,0.9905555555555555,0.18944444444444453,3041.960752900311,0.9261538461538461,0.9769230769230769,0.153076923076923,1936.919437059979,0.9305714285714287,0.9743809523809525,0.15495238095238117,20.932565358275603,0.8575471698113207,0.9037735849056604,0.10377358490566024,
78,linear,0.08,1.0,1.05,0.15898251192368854,341.6827441547647,True,0.948888888888889,0.9922222222222221,0.19111111111111112,3104.4784764714273,0.9261538461538461,0.9792307692307693,0.15538461538461545,1971.5270911592684,0.9305714285714287,0.9788571428571429,0.15942857142857159,21.22339841801254,0.8575471698113207,0.9075471698113208,0.09999999999999987,
78,linear,0.08,1.05,1.0,0.1628378378378379,337.89561174870323,True,0.9550000000000002,0.9905555555555555,0.1955555555555557,3068.6271541075544,0.9338461538461539,0.9769230769230769,0.16076923076923078,1950.3202340005237,0.9386190476190476,0.9743809523809525,0.16300000000000003,21.071829047766425,0.8603773584905661,0.9037735849056604,0.10660377358490558,
78,linear,0.08,1.05,1.05,0.16665341812400633,344.3991629017859,True,0.9550000000000002,0.9922222222222221,0.1972222222222223,3131.1448776786697,0.9338461538461539,0.9792307692307693,0.16307692307692323,1984.9278880998127,0.9386190476190476,0.9788571428571429,0.16747619047619045,21.36266210750336,0.8603773584905661,0.9075471698113208,0.1028301886792452,
78,linear,0.1,0.95,1.0,0.17488076311605713,352.57677430951867,True,0.9516666666666667,0.9927777777777775,0.1944444444444442,3218.5288408388255,0.933846153846154,0.9823076923076922,0.1661538461538462,2011.6607811037406,0.9432857142857142,0.9842857142857143,0.1775714285714285,22.015272032511486,0.8556603773584905,0.9066037735849056,0.09905660377358483,
78,linear,0.1,0.95,1.05,0.17738473767885532,360.2917276138492,True,0.9516666666666667,0.9955555555555554,0.19722222222222208,3292.4423797931686,0.933846153846154,0.9846153846153847,0.16846153846153866,2051.6658139499255,0.9432857142857142,0.9874285714285715,0.18071428571428572,22.446572619135182,0.8556603773584905,0.9169811320754717,0.08867924528301874,
78,linear,0.1,1.0,1.0,0.18203497615262326,355.927044975561,True,0.9594444444444444,0.9927777777777775,0.20222222222222197,3250.7993100895733,0.9446153846153845,0.9823076923076922,0.17692307692307674,2028.7317711582596,0.9503333333333334,0.9842857142857143,0.18461904761904768,22.20639956753066,0.8594339622641509,0.9066037735849056,0.1028301886792452,
78,linear,0.1,1.0,1.05,0.18453895071542142,363.64199827989154,True,0.9594444444444444,0.9955555555555554,0.20499999999999985,3324.712849043917,0.9446153846153845,0.9846153846153847,0.1792307692307692,2068.7368040044453,0.9503333333333334,0.9874285714285715,0.1877619047619049,22.637700154154356,0.8594339622641509,0.9169811320754717,0.09245283018867911,
78,linear,0.1,1.05,1.0,0.18819554848966616,359.5146987310131,True,0.9650000000000002,0.9927777777777775,0.20777777777777773,3284.840386720717,0.9561538461538461,0.9823076923076922,0.18846153846153835,2047.7348909508457,0.9562857142857143,0.9842857142857143,0.1905714285714286,22.410560273280897,0.8641509433962264,0.9066037735849056,0.10754716981132073,
78,linear,0.1,1.05,1.05,0.19069952305246432,367.2296520353437,True,0.9650000000000002,0.9955555555555554,0.2105555555555556,3358.753925675061,0.9561538461538461,0.9846153846153847,0.1907692307692308,2087.7399237970317,0.9562857142857143,0.9874285714285715,0.19371428571428584,22.841860859904592,0.8641509433962264,0.9169811320754717,0.09716981132075464,
78,linear,0.12,0.95,1.0,0.19272655007949133,374.4420869578091,True,0.9616666666666667,0.996111111111111,0.20777777777777762,3435.3782870215964,0.95,0.9861538461538462,0.18615384615384611,2109.717142836942,0.9572857142857143,0.9894761904761906,0.19676190476190492,23.55474788245619,0.8584905660377359,0.9132075471698113,0.09528301886792445,
78,linear,0.12,0.95,1.05,0.19471383147853724,383.47348546775083,True,0.9616666666666667,0.9966666666666666,0.20833333333333326,3520.819558149745,0.95,0.9884615384615384,0.18846153846153835,2157.2964875767957,0.9572857142857143,0.9919523809523808,0.1992380952380951,24.106297897582618,0.8584905660377359,0.9188679245283019,0.08962264150943389,
78,linear,0.12,1.0,1.0,0.1992050874403818,378.47814101604473,True,0.9666666666666667,0.996111111111111,0.21277777777777762,3473.416205003095,0.9607692307692307,0.9861538461538462,0.19692307692307687,2131.130787571393,0.9637619047619049,0.9894761904761906,0.20323809523809555,23.804325481681108,0.8622641509433963,0.9132075471698113,0.09905660377358483,
