regime,comparison,mae_ratio,ci_low,ci_high,improvement_pct,n_windows,significant
Early,TFP vs Bass,0.6428055271786008,0.4261896031294405,0.8777218248473041,35.71944728213992,51,True
Early,TFP vs SimpleTheta,0.7438684908373309,0.6362268699141695,1.0366572764534285,25.613150916266914,51,False
Growth,TFP vs Bass,0.7193998593755715,0.5755831778769023,0.9402167581072403,28.06001406244285,354,True
Growth,TFP vs SimpleTheta,0.7845903521321943,0.6320967861408452,1.0219346250968493,21.54096478678057,354,False
Mature,TFP vs Bass,0.43612186265222314,0.24710813096400155,0.9212568017129865,56.38781373477768,108,True
Mature,TFP vs SimpleTheta,0.42881243532988617,0.34886740311729386,0.5467920415025709,57.11875646701139,155,True
Saturated,TFP vs SimpleTheta,0.3059913805212732,0.20661188721213483,0.5231847115570679,69.40086194787267,280,True
