comparison,mae_ratio,ci_95_low,ci_95_high,improvement_pct,n_windows,significant_at_95
TFP vs Bass,0.6584058843465265,0.514112449052564,0.9010356857256941,34.159411565347355,513,True
TFP vs Gompertz,0.7402200371083135,0.5862376982857053,0.9875588295808803,25.977996289168647,513,True
TFP vs Logistic,0.7710296335875189,0.6311112512858212,0.9722827963277224,22.897036641248114,513,True
TFP vs Theta,0.6457915886726056,0.5400811154463082,0.800859259363943,35.42084113273945,840,True
TFP vs Naive,0.8971379855319014,0.8352481990711688,0.9604762287644868,10.286201446809862,840,True
